codigo_estacion,periodo_mensual,precipitacion
0012015110,2015-02,5.1
0012015110,2015-03,0.7
0012015110,2015-04,3.7
0012015110,2015-05,14.5
0012015110,2015-06,23.8
0012015110,2015-07,15.9
0012015110,2015-08,10.8
0012015110,2015-09,30.799999999999997
0012015110,2015-10,0.6000000000000001
0012015110,2015-11,14.8
0012015110,2015-12,24.099999999999998
0012015110,2016-02,0.2
0012015110,2016-03,0.9
0012015110,2016-04,7.3
0012015110,2016-05,13.2
0012015110,2016-06,22.4
0012015110,2016-07,0.1
0012015110,2016-09,6.5
0012015110,2016-10,15.2
0012015110,2016-11,22.8
0012015110,2017-02,0.30000000000000004
0012015110,2017-08,4.8
0012015110,2017-09,22.7
0012015110,2017-10,17.5
0012015110,2017-11,30.3
0012015110,2017-12,16.9
0012015110,2018-01,20.6
0012015110,2018-03,1.2
0012015110,2018-04,11.5
0012015110,2018-05,4.1000000000000005
0012015110,2018-06,45.800000000000004
0012015110,2018-07,27.4
0012015110,2018-08,12.3
0012015110,2018-09,15.9
0012015110,2018-10,0.6000000000000001
0012015110,2018-11,0.1
0012015110,2018-12,5.3
0012015110,2019-01,2.6
0012015110,2019-03,8.4
0012015110,2019-04,10.0
0012015110,2019-07,28.3
0012015110,2019-08,29.5
0012017020,2019-03,12.2
0012017020,2019-04,9.8
0012017020,2019-05,32.0
0012017020,2019-06,7.0
0012017020,2019-07,7.3999999999999995
0012017020,2019-08,6.4
0012027010,2019-03,0.4
0012027010,2019-04,2.2
0012027010,2019-06,6.0
0012027010,2019-07,9.600000000000001
0023050420,2007-11,23.5
0023050420,2007-12,42.0
0023050420,2008-01,13.0
0023050420,2008-07,21.7
0023050420,2008-08,21.2
0023050420,2008-09,25.8
0023050420,2008-10,40.9
0023050420,2008-11,48.3
0023050420,2008-12,19.6
0023050420,2009-01,39.5
0023050420,2009-05,33.300000000000004
0023050420,2009-06,25.9
0023050420,2009-07,3.3
0023050420,2009-08,49.5
0023050420,2009-09,21.1
0023050420,2009-10,31.2
0023050420,2009-11,36.2
0023050420,2010-01,7.5
0023050420,2010-02,16.0
0023050420,2010-03,41.699999999999996
0023050420,2010-04,26.3
0023050420,2010-05,18.4
0023050420,2010-06,24.400000000000002
0023050420,2010-07,51.1
0023050420,2010-08,21.5
0023050420,2010-09,19.3
0023050420,2010-10,17.4
0023050420,2010-11,65.1
0023050420,2010-12,52.7
0023050420,2011-01,15.2
0023050420,2011-02,19.9
0023050420,2011-03,68.7
0023050420,2011-04,97.8
0023050420,2011-05,23.3
0023050420,2011-06,19.2
0023050420,2011-07,15.9
0023050420,2011-08,33.1
0023050420,2011-09,16.8
0023050420,2011-10,29.8
0023050420,2011-11,35.0
0023050420,2011-12,63.3
0023050420,2012-01,50.0
0023050420,2012-02,12.9
0023050420,2012-03,20.2
0023050420,2012-04,34.1
0023050420,2012-05,23.5
0023050420,2012-06,15.5
0023050420,2012-07,16.5
0023050420,2012-08,17.7
0023050420,2012-09,19.0
0023050420,2012-10,31.1
0023050420,2012-11,28.099999999999998
0023050420,2012-12,32.9
0023050420,2013-01,15.5
0023050420,2013-02,29.9
0023050420,2013-03,55.2
0023050420,2013-04,40.6
0023050420,2013-05,45.3
0023050420,2013-06,24.5
0023050420,2013-07,2.6999999999999997
0023050420,2013-08,27.4
0023050420,2013-09,43.1
0023050420,2013-10,47.1
0023050420,2013-11,42.7
0023050420,2013-12,27.6
0023050420,2014-01,18.3
0023050420,2014-02,27.2
0023050420,2015-09,9.1
0023050420,2015-10,29.3
0023050420,2015-11,8.5
0023050420,2015-12,2.3000000000000003
0023050420,2016-01,9.6
0023050420,2016-02,17.099999999999998
0023050420,2016-03,19.0
0023050420,2016-04,11.4
0023050420,2016-05,33.7
0023050420,2016-07,3.9
0023050420,2017-05,2.6
0023050420,2017-06,2.5
0023050420,2017-07,0.4
