id_estacion;nom_est;longitud;latitud;altitud;et_mmy;departamento;municipio;ah;zszh;vereda;subregion;depto_region;corriente
13070240;CERRO BAHIA [13070240];-75,84999604;9,300004253;23;1587;Cordoba;Lorica;Caribe;BajoSinu;PUEBLO CHIQUITO;;Cordoba - ;
13070250;TRAPICHE EL [13070250];-75,8833328;9,316663762;4;1593;Cordoba;Lorica;Caribe;BajoSinu;PUEBLO CHIQUITO;;Cordoba - ;
13070420;CNO EL MUERTO [13070420];-75,84999604;9,300004253;23;1587;Cordoba;Lorica;Caribe;BajoSinu;PUEBLO CHIQUITO;;Cordoba - ;
13080020;LORICA [13080020];-75,83333531;9,250003127;26;1586;Cordoba;Lorica;Caribe;BajoSinu;PUEBLO CHIQUITO;;Cordoba - ;
13080060;DOCTRINA LA [13080060];-75,8833326;9,299998375;4;1593;Cordoba;Lorica;Caribe;BajoSinu;PUEBLO CHIQUITO;;Cordoba - ;
13085010;DOCTRINA LA [13085010];-75,89278104;9,297219627;8;1592;Cordoba;Lorica;Caribe;BajoSinu;LA DOCTRINA;;Cordoba - ;
13085050;LORICA ITA - AUT [13085050];-75,84441956;9,252726151;25;1587;Cordoba;Lorica;Caribe;BajoSinu;PUEBLO CHIQUITO;;Cordoba - ;
24060050;MESA LA [24060050];-73,09277355;6,759164419;1444;1194;Santander;LosSantos;MagdalenaCauca;RioSogamoso;LAS DELICIAS;;Santander - ;
25020950;SAN ANTONIO ALERTA [25020950];-74,76999905;9,039997871;15;1590;Bolivar;Magangue;MagdalenaCauca;CaucaSanJorgeLaMojana;BOCA DE SAN ANTONIO;;Bolivar - ;
25027530;BARBOSA [25027530];-74,63666794;9,022499727;17;1589;Bolivar;Magangue;MagdalenaCauca;CaucaSanJorgeLaMojana;BARBOSA;;Bolivar - ;
25020340;MAJAGUAL [25020340];-74,64999987;8,533329017;19;1589;Sucre;Majagual;MagdalenaCauca;CaucaSanJorgeLaMojana;SAN ROQUE;;Sucre - ;
25020790;PALMARITO [25020790];-74,71777889;8,718890978;14;1590;Sucre;Majagual;MagdalenaCauca;CaucaSanJorgeLaMojana;SIN DEFINIR;;Sucre - ;
25020820;ZAPATA [25020820];-74,69972113;8,602779538;16;1589;Sucre;Majagual;MagdalenaCauca;CaucaSanJorgeLaMojana;ZAPATICO;;Sucre - ;
25021570;FLORIDA LA [25021570];-75,16666957;8,649996268;28;1586;Sucre;Majagual;MagdalenaCauca;CaucaSanJorgeLaMojana;SIN DEFINIR;;Sucre - ;
25025240;MAJAGUAL [25025240];-74,62733181;8,542696361;18;1589;Sucre;Majagual;MagdalenaCauca;CaucaSanJorgeLaMojana;;;Sucre - ;
26150160;LA ESPERANZA [26150160];-75,35655709;5,017831752;3315;821;Caldas;Manizales;MagdalenaCauca;RioChinchina;LA ESPERANZA;;Caldas - ;
26155110;AEROPUERTO LA NUBIA [26155110];-75,46991581;5,02978205;2076;1053;Caldas;Manizales;MagdalenaCauca;RioChinchina;;;Caldas - ;
26155170;TESORITO FINCA - AUT [26155170];-75,43833052;5,032224894;2342;998;Caldas;Manizales;MagdalenaCauca;RioChinchina;LA ENEA PARTE;;Caldas - ;
23020080;MANZANARES [23020080];-75,14407907;5,265608142;1957;1078;Caldas;Manzanares;MagdalenaCauca;RioGuarino;;;Caldas - ;
23080640;MARINILLA [23080640];-75,32800351;6,171085476;2103;1047;Antioquia;Marinilla;MagdalenaCauca;RioNare;;Oriente;Antioquia - Oriente;
23120150;MARIPI [23120150];-74,01667104;5,550003345;1070;1287;Boyaca;Maripi;MagdalenaCauca;RioCarare(Minero);PALMAR;;Boyaca - ;
23010070;MACARENA LA HACIENDA [23010070];-74,88333096;5,183333991;457;1455;Tolima;Mariquita;MagdalenaCauca;RioGuali;PANTANO GRANDE;;Tolima - ;
23010110;SUBESTACION ELECTR [23010110];-74,86666689;5,18332913;430;1463;Tolima;Mariquita;MagdalenaCauca;RioGuali;PANTANO GRANDE;;Tolima - ;
23015040;AEROPUERTO MARIQUITA [23015040];-74,88638679;5,209719165;471;1451;Tolima;Mariquita;MagdalenaCauca;RioGuali;;;Tolima - ;
23025040;ALBANIA [23025040];-74,90264101;5,285695432;590;1417;Tolima;Mariquita;MagdalenaCauca;RioGuarino;MALABAR BAJO;;Tolima - ;
26170350;FLECHA LA [26170350];-75,61667018;5,466667794;1690;1137;Caldas;Marmato;MagdalenaCauca;RioFRioyOtrosDirectosalCauca;EL RODEO;;Caldas - ;
23050080;MARQUETALIA [23050080];-75,05746771;5,298912458;1530;1174;Caldas;Marquetalia;MagdalenaCauca;RioLaMiel(Samana);;;Caldas - ;
26130200;RECUERDO EL [26130200];-75,74166353;4,962413698;1565;1166;Risaralda;Marsella;MagdalenaCauca;RioOtunyotrosdirectosalCauca;LA LINDA;;Risaralda - ;
26130270;MARSELLA-ITA [26130270];-75,74999823;4,933333746;1622;1153;Risaralda;Marsella;MagdalenaCauca;RioOtunyotrosdirectosalCauca;CARACAS;;Risaralda - ;
26135090;JARDIN BOTANICO [26135090];-75,73333261;4,933330262;1538;1172;Risaralda;Marsella;MagdalenaCauca;RioOtunyotrosdirectosalCauca;;;Risaralda - ;
26135120;MARSELLA-ITA [26135120];-75,74999823;4,933333746;1622;1153;Risaralda;Marsella;MagdalenaCauca;RioOtunyotrosdirectosalCauca;CARACAS;;Risaralda - ;
23020090;MARULANDA [23020090];-75,26714276;5,278167137;2816;908;Caldas;Marulanda;MagdalenaCauca;RioGuarino;CENTRO MARULANDA;;Caldas - ;
23190120;MATANZA [23190120];-73,03333079;7,36666902;2479;971;Santander;Matanza;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;SANTA MARTHA;;Santander - ;
23190340;MATAJIRA [23190340];-73,06471785;7,213331422;1019;1300;Santander;Matanza;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;MATAJIRA;;Santander - ;
23190370;MATANZA [23190370];-73,03333079;7,36666902;2479;971;Santander;Matanza;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;SANTA MARTHA;;Santander - ;
26205080;ALDEA LA [26205080];-75,70094349;6,341056133;1684;1138;Antioquia;Medellin;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;LA ALDEA;Valle de Aburra;Antioquia - Valle de Aburra;
27010780;BOQUERON [27010780];-75,6833344;6,349997869;2313;1004;Antioquia;Medellin;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;SECTOR CENTRAL;Valle de Aburra;Antioquia - Valle de Aburra;
27010810;SANTA HELENA [27010810];-75,51674672;6,19688928;2706;928;Antioquia;Medellin;MagdalenaCauca;RioPorce;EL PLAN;Valle de Aburra;Antioquia - Valle de Aburra;
27011110;ASTILLEROS [27011110];-75,67586527;6,257302741;2412;984;Antioquia;Medellin;MagdalenaCauca;RioPorce;EL ASTILLERO;Valle de Aburra;Antioquia - Valle de Aburra;
27011120;IGUANA LA [27011120];-75,65752718;6,316275256;2290;1008;Antioquia;Medellin;MagdalenaCauca;RioPorce;BOQUERON;Valle de Aburra;Antioquia - Valle de Aburra;
27011270;LAURELES-MEDELLIN [27011270];-75,59105922;6,246418193;1492;1183;Antioquia;Medellin;MagdalenaCauca;RioPorce;;Valle de Aburra;Antioquia - Valle de Aburra;
27015120;PIEDRAS BLANCAS [27015120];-75,49999888;6,300004254;2379;991;Antioquia;Medellin;MagdalenaCauca;RioPorce;CABUYAL;Valle de Aburra;Antioquia - Valle de Aburra;
27015270;JARDIN BOTANICO [27015270];-75,56316968;6,266915108;1488;1184;Antioquia;Medellin;MagdalenaCauca;RioPorce;;Valle de Aburra;Antioquia - Valle de Aburra;
27015330;OLAYA HERRERA - AUT [27015330];-75,58999898;6,219997226;1498;1182;Antioquia;Medellin;MagdalenaCauca;RioPorce;;Valle de Aburra;Antioquia - Valle de Aburra;
11050020;BETE [11050020];-76,78002592;5,994724396;27;1586;Choco;MedioAtrato(Bete);Caribe;Darien;BETE;;Choco - ;
11050030;BUEY EL [11050030];-76,82136404;6,102500708;32;1584;Choco;MedioAtrato(Bete);Caribe;DarienDirectosAtratoentreRiosQuitoyBojaya(mi);SIN DEFINIR;;Choco - ;
11050060;ALTO DEL BUEY [11050060];-76,91563949;6,108332362;39;1582;Choco;MedioAtrato(Bete);Caribe;DarienDirectosAtratoentreRiosQuitoyBojaya(mi);SIN DEFINIR;;Choco - ;
54020010;ANDAGOYA [54020010];-76,69650319;5,097664797;36;1583;Choco;MedioSanJuan;Pacifico;RioTamanayotrosDirectosSanJuan;SIN DEFINIR;;Choco - ;
26140120;MISTRATO [26140120];-75,8727216;5,294254281;1466;1189;Risaralda;Mistrato;MagdalenaCauca;RioRisaralda;LA ESTRELLA;;Risaralda - ;
13070020;MOMIL [13070020];-75,68806006;9,234444796;7;1592;Cordoba;Momil;Caribe;BajoSinu;SIN DEFINIR;;Cordoba - ;
