Año;Edad;Hombres;Mujeres
1959;55;35530;36965
1959;56;33536;35605
1959;57;31251;34376
1959;58;29019;33225
1959;59;27117;32109
1959;60;25152;31087
1959;61;23589;29699
1959;62;22397;28062
1959;63;21309;26398
1959;64;20082;24886
1959;65;19021;23292
1959;66;18034;22041
1959;67;17063;21074
1959;68;16105;20147
1959;69;15194;19098
1959;70;14349;18197
1959;71;13263;16955
1959;72;12031;15449
1959;73;10790;13893
1959;74;9703;12505
1959;75;8624;11080
1959;76;7659;9796
1959;77;6815;8671
1959;78;6043;7648
1959;79;5266;6645
1959;80;4536;5734
1959;81;3960;4991
1959;82;3471;4359
1959;83;3020;3758
1959;84;2564;3183
1959;85;2160;2659
1959;86;1706;2153
1959;87;1271;1684
1959;88;880;1287
1959;89;610;982
1959;90;400;743
1959;91;258;536
1959;92;169;361
1959;93;109;232
1959;94;65;138
1959;95;36;71
1959;96;20;36
1959;97;12;21
1959;98;7;14
1959;99;4;7
1959;100;4;9
1966;0;372390;357754
1966;1;356122;343478
1966;2;345692;334442
1966;3;336579;326214
1966;4;326916;317182
1966;5;316501;307329
1966;6;305986;297346
1966;7;295755;287550
1966;8;285295;277596
1966;9;274821;267787
1966;10;264725;258244
1966;11;254793;248785
1966;12;245179;239661
1966;13;235464;230381
1966;14;225937;221214
1966;15;217744;213243
1966;16;208714;204411
1966;17;191922;191041
1966;18;185817;184714
1966;19;178030;177112
1966;20;170090;169450
1966;21;162320;161981
1966;22;154720;154684
1966;23;147313;147580
1966;24;140320;140848
1966;25;133798;134558
1966;26;127594;128583
1966;27;121628;122869
1966;28;116816;118266
1966;29;112897;114537
1966;30;109380;111209
1966;31;106010;108025
1966;32;103372;105526
1966;33;100104;102406
1966;34;96391;98805
1966;35;92765;95233
1966;36;89918;92353
1966;37;87068;89429
1966;38;84014;86246
1966;39;80880;82966
1966;40;77771;79725
1966;41;74835;76702
1966;42;71877;73685
1966;43;69044;70821
1966;44;66361;68130
1966;45;63785;65557
1966;46;61096;62876
1966;47;58330;60121
1966;48;56476;58319
1966;49;55281;57214
1966;50;54131;56181
1966;51;52681;54871
1966;52;51697;54064
1966;53;49791;52247
1966;54;47104;49589
1966;55;44327;46794
1966;56;42077;44571
1966;57;39437;41952
1966;58;37316;39793
1966;59;35627;38062
1966;60;33845;36340
1966;61;31704;34298
1966;62;29763;32441
1966;63;27494;30795
1966;64;25055;29312
1966;65;22786;27973
1966;66;20926;26758
1966;67;19143;25702
1966;68;17764;24390
1966;69;16708;22881
1966;70;15770;21362
1966;71;14684;19916
1966;72;13668;18349
1966;73;12648;17008
1966;74;11598;15847
1966;75;10535;14694
1966;76;9505;13454
1966;77;8522;12329
1966;78;7456;11028
1966;79;6393;9636
1966;80;5421;8300
1966;81;4611;7139
1966;82;3873;6013
1966;83;3237;5004
1966;84;2686;4108
1966;85;2189;3294
1966;86;1721;2546
1966;87;1310;1912
1966;88;990;1424
1966;89;740;1052
1966;90;544;765
1966;91;389;549
1966;92;278;392
1966;93;187;273
1966;94;119;184
1966;95;69;120
1966;96;40;77
1966;97;21;48
1966;98;11;28
1966;99;6;15
1966;100;5;15
1969;0;370939;356125
1969;1;360023;346691
1969;2;355410;343027
1969;3;351574;339937
1969;4;346785;335731
1969;5;339353;328891
1969;6;331380;321470
1969;7;322660;313224
1969;8;313192;304261
1969;9;303519;295126
1969;10;293926;285982
1969;11;283846;276416
1969;12;273519;266741
1969;13;263385;257140
1969;14;253276;247482
1969;15;243357;238031
1969;16;233243;228322
1969;17;223253;218664
1969;18;214568;210178
1969;19;205061;200862
1969;20;187883;187089
1969;21;181383;180405
1969;22;173283;172547
1969;23;165112;164724
1969;24;157200;157181
1969;25;149552;149890
1969;26;142191;142858
1969;27;135324;136246
1969;28;128989;130114
1969;29;123006;124317
1969;30;117274;118793
1969;31;112679;114370
1969;32;108951;110808
1969;33;105602;107632
1969;34;102378;104585
1969;35;99867;102202
1969;36;96728;99197
1969;37;93147;95708
1969;38;89654;92248
1969;39;86930;89474
1969;40;84204;86665
1969;41;81272;83615
1969;42;78257;80484
1969;43;75258;77395
1969;44;72413;74514
1969;45;69530;71617
1969;46;66745;68841
1969;47;64081;66195
1969;48;61497;63628
1969;49;58787;60931
1969;50;56003;58155
1969;51;54117;56322
1969;52;52893;55197
1969;53;51733;54176
1969;54;50300;52907
1969;55;49315;52132
1969;56;47425;50353
1969;57;44756;47725
1969;58;41968;44923
1969;59;39653;42640
1969;60;36938;39944
1969;61;34700;37674
1969;62;32869;35817
1969;63;30965;33990
1969;64;28746;31885
1969;65;26737;29983
1969;66;24464;28303
1969;67;22079;26795
1969;68;19887;25437
1969;69;18087;24199
1969;70;16421;23134
1969;71;15109;21822
1969;72;14065;20316
1969;73;13069;18753
1969;74;11948;17250
1969;75;10889;15650
1969;76;9841;14261
1969;77;8793;13051
1969;78;7769;11875
1969;79;6807;10659
1969;80;5916;9557
1969;81;5010;8336
1969;82;4151;7064
1969;83;3394;5861
1969;84;2776;4818
1969;85;2235;3848
1969;86;1782;3019
1969;87;1403;2327
1969;88;1078;1750
1969;89;794;1268
1969;90;563;894
1969;91;394;624
1969;92;273;432
1969;93;186;293
1969;94;123;195
1969;95;81;128
1969;96;50;82
1969;97;29;50
1969;98;16;30
1969;99;8;18
1969;100;7;20
1972;0;363579;349634
1972;1;354485;341154
1972;2;352367;339832
1972;3;352076;340023
1972;4;351545;339686
1972;5;349503;337911
1972;6;346596;335467
1972;7;342596;331899
1972;8;336011;325838
1972;9;328822;319184
1972;10;320713;311548
1972;11;311619;302957
1972;12;302085;293948
1972;13;292438;284730
1972;14;282143;274929
1972;15;271459;264871
1972;16;260850;254768
1972;17;250192;244533
1972;18;239694;234483
1972;19;229014;224206
1972;20;218507;214050
1972;21;209368;205162
1972;22;199503;195560
1972;23;182134;181642
1972;24;175462;174881
1972;25;167313;167046
1972;26;159198;159322
1972;27;151432;151933
1972;28;143999;144837
1972;29;136891;138022
1972;30;130293;131637
1972;31;124219;125729
1972;32;118482;120145
1972;33;112973;114822
1972;34;108575;110577
1972;35;105020;107171
1972;36;101831;104134
1972;37;98760;101215
1972;38;96388;98947
1972;39;93395;96062
1972;40;89964;92709
1972;41;86618;89396
1972;42;84022;86769
1972;43;81416;84115
1972;44;78591;81217
1972;45;75664;78219
1972;46;72724;75232
1972;47;69908;72411
1972;48;67027;69537
1972;49;64221;66758
1972;50;61531;64093
1972;51;58929;61511
1972;52;56228;58828
1972;53;53482;56094
1972;54;51617;54297
1972;55;50392;53193
1972;56;49210;52176
1972;57;47738;50894
1972;58;46658;50055
1972;59;44685;48217
1972;60;41969;45550
1972;61;39119;42684
1972;62;36729;40315
1972;63;33987;37562
1972;64;31703;35222
1972;65;29802;33280
1972;66;27839;31380
1972;67;25597;29238
1972;68;23552;27307
1972;69;21286;25595
1972;70;18999;24086
1972;71;16900;22705
1972;72;15156;21416
1972;73;13508;20232
1972;74;12177;18821
1972;75;11085;17245
1972;76;10056;15641
1972;77;8962;14118
1972;78;7952;12555
1972;79;6988;11200
1972;80;6063;10012
1972;81;5191;8870
1972;82;4398;7714
1972;83;3688;6662
1972;84;3004;5560
1972;85;2386;4481
1972;86;1864;3521
1972;87;1451;2734
1972;88;1106;2063
1972;89;831;1529
1972;90;613;1112
1972;91;439;788
1972;92;300;535
1972;93;197;350
1972;94;127;225
1972;95;81;143
1972;96;51;89
1972;97;31;54
1972;98;19;33
1972;99;11;19
1972;100;11;23
1975;0;365605;351541
1975;1;354092;341235
1975;2;349029;337006
1975;3;347696;335810
1975;4;347150;335122
1975;5;347224;335410
1975;6;347700;336135
1975;7;347812;336320
1975;8;346470;335184
1975;9;344231;333383
1975;10;340759;330337
1975;11;334503;324594
1975;12;327424;318038
1975;13;319236;310309
1975;14;309901;301461
1975;15;299971;292038
1975;16;289798;282276
1975;17;278895;271850
1975;18;267569;261141
1975;19;256327;250417
1975;20;245090;239634
1975;21;234091;229143
1975;22;223012;218546
1975;23;212217;208197
1975;24;202897;199226
1975;25;192979;189650
1975;26;175746;175868
1975;27;169207;169271
1975;28;161281;161651
1975;29;153436;154171
1975;30;145960;147038
1975;31;138812;140193
1975;32;131974;133622
1975;33;125625;127463
1975;34;119778;121762
1975;35;114253;116368
1975;36;108943;111221
1975;37;104724;107130
1975;38;101337;103863
1975;39;98305;100955
1975;40;95386;98165
1975;41;93157;96025
1975;42;90311;93282
1975;43;87026;90079
1975;44;83809;86910
1975;45;81307;84399
1975;46;78763;81833
1975;47;75967;78992
1975;48;73037;76017
1975;49;70072;73030
1975;50;67219;70196
1975;51;64315;67317
1975;52;61514;64553
1975;53;58849;61926
1975;54;56291;59395
1975;55;53636;56766
1975;56;50917;54072
1975;57;49012;52263
1975;58;47677;51091
1975;59;46347;49972
1975;60;44726;48578
1975;61;43471;47597
1975;62;41407;45670
1975;63;38687;42969
1975;64;35880;40100
1975;65;33514;37711
1975;66;30822;34962
1975;67;28530;32593
1975;68;26559;30587
1975;69;24513;28610
1975;70;22266;26452
1975;71;20202;24491
1975;72;17977;22734
1975;73;15740;21135
1975;74;13721;19664
1975;75;12049;18289
1975;76;10507;17019
1975;77;9263;15579
1975;78;8241;14029
1975;79;7298;12482
1975;80;6338;11021
1975;81;5465;9545
1975;82;4647;8241
1975;83;3881;7076
1975;84;3183;5972
1975;85;2569;4911
1975;86;2045;3991
1975;87;1576;3129
1975;88;1182;2374
1975;89;871;1761
1975;90;638;1294
1975;91;456;922
1975;92;321;643
1975;93;220;436
1975;94;146;285
1975;95;92;177
1975;96;56;106
1975;97;33;63
1975;98;19;37
1975;99;11;21
1975;100;12;24
1979;0;389449;374668
1979;1;375745;361980
1979;2;365990;353062
1979;3;357797;345345
1979;4;351167;339197
1979;5;346835;335207
1979;6;343898;332521
1979;7;343415;331956
1979;8;343563;331861
1979;9;344308;332785
1979;10;345362;334084
1979;11;345886;334691
1979;12;344752;333769
1979;13;342485;331944
