fecha;0011057020;0011077020;0011115020;0011115501;0011117040;0011117050;0012015060;0012015100;0012015110;0012017020;0012027010;0023050420;0023057140;0023085080;0023085260;0023085270;0023085501;0023087150;0023087160;0023087190;0023087210;0023087230;0023087660;0023097030;0023105060;0023105070;0023107020;0025027050;0026165502;0026175502;0026180180;0026185030;0026185050;0026185501;0026195501;0026195502;0026205501;0026207080;0026215501;0026217010;0026225060;0026237040;0026247010;0026247020;0026247050;0026255030;0027015280;0027015290;0027015310;0027015320;0027015330;0027015501;0027027060;0027037010;0027037030;1111500036;2308500068;2308500071;2621500070;2702500107
2005-01-01;;;;;;;;12,100000000000001;118,4;;;;;;45,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-02-01;;;;;;;;4,3;89,3;;;;;;64,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-03-01;;;;;;;;105,5;72,1;;;;;;17,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-04-01;;;;;;;;78,0;22,6;;;;;;27,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-05-01;;;;;;;;4,2;13,200000000000001;;;;;;48,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-06-01;;;;;;;;30,1;27,099999999999998;;;;;;21,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-07-01;;;;;;;;6,2;;;;;;;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-08-01;;;;;;;;1,7;;;;;;;28,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-09-01;;;;;;;;2,0;;;;;;;54,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-10-01;;;;;;;;81,8;107,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-11-01;;;;;;;;;89,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-12-01;;;;;;;;;73,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-01-01;;;;;;;;;9,4;;;;;;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-02-01;;;;;;;;;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-03-01;;;;;;;;;18,9;;;;;;22,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-05-01;;;;;;;;;;;;;;;;;;;;;;;;;31,4;23,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-06-01;;;;;;;;;;;;;;;;;;;;;;;;;53,4;49,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-07-01;;;;;;;;;;;;;;;;;;;;;;;;;16,5;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-08-01;;;;;;;;;;;;;;;;;;;;;;;;;38,9;0,30000000000000004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-09-01;;;;;;;;;;;;;;;;;;;;;;;;;35,4;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-10-01;;;;;;;;;;;;;;;;;;;;;;;;;22,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-11-01;;;;;;;;;;;;;;;;;;;;;;;;;9,0;19,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-12-01;;;;;;;;;;;;;;;;;;;;;;;;;11,5;26,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-01-01;;;;;;;;;;;;;;;;;;;;;;;;;9,0;14,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-02-01;;;;;;;;;;;;;;;;;;;;;;;;;0,1;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-03-01;;;;;;;;;;;;;66,0;;;;;;;;;;;;62,699999999999996;64,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-04-01;;;;;;;;;;;;;13,299999999999999;;;;;;;;;;;;45,7;42,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-05-01;;;;;;;;;;;;;;;;;;;;;;;;;68,0;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-06-01;;;;;;;;;;;;;11,3;;;;;;;;17,099999999999998;;;;43,7;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-07-01;;;;;;;;;;;;;22,1;;;;;;;;;;;;27,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-08-01;;;;;;;;;;;;;66,0;;;;;;;;75,39999999999999;;;;52,1;64,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-09-01;;;;;;;;;;;;;48,4;;;;;;;;27,5;;;;36,1;29,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-10-01;;;;;;;;;;;;;61,4;;;;;;;;41,3;;;;115,2;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-11-01;;;;;;;;;;;;84,8;3,2;;;;;;;;;;;;41,2;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-12-01;;;;;;;;;;;;98,7;49,5;;;;;;;;;;;;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-01-01;;;;;;;;;;;;52,7;6,9;;;;;;;;;;;;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-02-01;;;;;;;;;;;;;65,5;;;;;;;;10,6;;;;6,8999999999999995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-03-01;;;;;;;;;;;;;22,4;;;;;;;;;;;;13,200000000000001;21,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-04-01;;;;;;;;;;;;;4,8;;;;;;;;;;;;19,2;32,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-05-01;;;;;;;;;;;;;23,8;;;;;;;;;;;;23,1;4,800000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-06-01;;;;;;;;;;;;;22,0;;;;;;;;;;;;24,0;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-07-01;;;;;;;;;;;;52,9;55,0;;;;;;;;;;;;55,6;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-08-01;;;;;;;;;;;;57,2;97,4;;;;;;;;;;;;22,1;38,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-09-01;;;;;;;;;;;;59,4;28,4;;;;;;;;;;;;41,800000000000004;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-10-01;;;;;;;;;;;;83,7;89,0;;;;;;;;;;;;52,6;55,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-11-01;;;;;;;;;;;;131,2;3,7;;;;;;;;;;;;61,1;39,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-12-01;;;;;;;;;;;;55,8;;;;;;;;;;;;;3,4;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-01-01;;;;;;;;;;;;133,5;7,9;;;;;;;;;;;;11,200000000000001;31,099999999999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-02-01;;;;;;;;;;;;;8,600000000000001;;;;;;;;;;;;17,8;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-03-01;;;;;;;;;;;;;22,4;;;;;;;;;;;;32,8;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-04-01;;;;;;;;;;;;;6,300000000000001;;;;;;;;;;;;;6,799999999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-05-01;;;;;;;;;;;;101,3;1,4000000000000001;;;;;;;;;;;;23,3;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-06-01;;;;;;;;;;;;80,5;6,5;;;;;;;;;;;;61,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-07-01;;;;;;;;;;;;17,8;15,1;;;;;;;;;;;;27,3;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-08-01;;;;;;;;;;;;74,7;25,400000000000002;;;;;;;;;;;;45,8;48,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-09-01;;;;;;;;;;;;58,9;37,7;;;;;;;;;;;;32,1;19,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-10-01;;;;;;;;;;;;103,3;81,5;;;;;;;;;;;;23,5;68,39999999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-11-01;;;;;;;;;;;;93,0;43,5;;;;;;;;;;;;33,7;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-12-01;;;;;;;;;;;;;35,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-01-01;;;;;;;;;;;;15,6;3,1;;;;;;;;;;;;0,4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-02-01;;;;;;;;;;;;30,8;2,6;;;;;;;;;;;;20,1;8,200000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-03-01;;;;;;;;;;;;99,89999999999999;60,300000000000004;;;;;;;;21,0;;;;15,200000000000001;33,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-04-01;;;;;;;;;;;;56,7;71,10000000000001;;;;;;;;44,2;;;;47,3;25,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-05-01;;;;;;;;;;;;59,6;58,6;;;;;;;;36,7;;;;48,9;49,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-06-01;;;;;;;;;;;;89,3;11,3;;;;;;;;20,2;;;;44,9;47,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
